Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Website,Founded Date,Founded Date Precision,Industry Groups,Number of Employees,Stock Symbol,Stock Symbol URL,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Aberdeen - Software Spend,Aberdeen - Software Spend Currency,Aberdeen - Software Spend Currency (in USD),Aberdeen - Communications Spend,Aberdeen - Communications Spend Currency,Aberdeen - Communications Spend Currency (in USD),Number of Acquisitions,Acquisition Status,IPqwery - IP Activity Score,G2 Stack - Total Products Active,G2 Stack - Total Product Changes,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,BuiltWith - Tech Changes (%),BuiltWith - Active Tech Count,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Estimated Revenue Range,Operating Status,Last Layoff Mention Date,Aberdeen - Services Spend,Aberdeen - Services Spend Currency,Aberdeen - Services Spend Currency (in USD),Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Kiavi,https://www.crunchbase.com/organization/kiavi,"Consumer Lending, Finance, Lending, Real Estate, Real Estate Investment","San Francisco, California, United States",Kiavi is a technology platform that offers investment property loans for residential real estate investors.,https://www.kiavi.com,2013-01-01,year,"Financial Services, Lending and Investments, Real Estate",251-500,,,-1.1,10,10,,,,,,,,,,,,,15,-6.25%,,,0%,58,"122,463","110,481.67",19.8%,"336,120","-30,494",-8.32%,"San Francisco Bay Area, West Coast, Western US",$50M to $100M,Active,2022-07-14,,,,1,,2023-01-11,158000000,USD,158000000,Debt Financing,158000000,USD,158000000
54gene,https://www.crunchbase.com/organization/54gene,"Biotechnology, Genetics, Health Care, Life Science","Washington, District of Columbia, United States",54gene is a healthcare startup that offers a genetics testing platform.,https://www.54gene.com,2019-01-01,year,"Biotechnology, Health Care, Science and Engineering",101-250,,,-0.5,-0.9,-3.9,,,,,,,,,,,,,12,0%,,,0%,44,"3,532","669,639.5",56.77%,"3,459,722","-886,340",-20.39%,"Washington DC Metro Area, Southern US",,Active,2022-08-29,,,,10,Early Stage Venture,2022-10-28,50000000,USD,50000000,Convertible Note,94725000,USD,94725000
Uber,https://www.crunchbase.com/organization/uber,"Logistics, Mobile Apps, Public Transportation, Ride Sharing, Transportation","San Francisco, California, United States","Uber develops, markets, and operates a ride-sharing mobile application that allows consumers to submit a trip request.",http://www.uber.com,2009-03-01,month,"Apps, Mobile, Software, Transportation",10001+,UBER,https://www.crunchbase.com/ipo/uber-ipo--f2023e6c,-0.9,-0.9,-2.1,882646852,USD,882646852,146690839,USD,146690839,30987395,USD,30987395,13,Made Acquisitions,3.5,91,0%,23,"18,593,403",0%,84,"91,160,801","149,023,595.67",2.28%,"1,029",-18,-1.72%,"San Francisco Bay Area, West Coast, Western US",$10B+,Active,2021-11-18,232062429,USD,232062429,32,IPO,2020-09-14,500000000,USD,500000000,Post-IPO Debt,25212450000,USD,25212450000
Karat,https://www.crunchbase.com/organization/karat,"Information Technology, Recruiting, SaaS, Software Engineering","Seattle, Washington, United States",Karat develops an interviewing cloud platform to solve the multi-decade global shortage of software engineers.,https://www.karat.io,2014-03-25,day,"Information Technology, Professional Services, Science and Engineering, Software",101-250,,,-0.7,5.3,8.7,,,,,,,,,,,,1.8,15,0%,8,3,0%,40,"148,012","297,822.67",-23.12%,"292,621","60,275",25.94%,"Greater Seattle Area, West Coast, Western US",$1M to $10M,Active,2023-01-20,,,,6,,2022-04-19,,,,Undisclosed,169100000,USD,169100000
Hootsuite,https://www.crunchbase.com/organization/hootsuite,"Apps, Brand Marketing, Messaging, SaaS, Social Media","Vancouver, British Columbia, Canada",Hootsuite develops a platform for managing social media programs across multiple social networks.,https://hootsuite.com/,2008-11-28,day,"Apps, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Sales and Marketing, Software",1001-5000,,,-0.6,5.6,4.6,31183200,USD,31183200,4991700,USD,4991700,941186,USD,941186,14,Made Acquisitions,1.7,163,0%,6,"72,383",0%,150,"8,988,886","9,863,396",-15.11%,"11,031","1,873",20.45%,,$10M to $50M,Active,2023-01-18,10378836,USD,10378836,6,Late Stage Venture,2018-03-15,50000000,USD,50000000,Debt Financing,299900000,USD,299900000
Argo AI,https://www.crunchbase.com/organization/argo-ai,"Artificial Intelligence, Autonomous Vehicles, Robotics, Transportation","Pittsburgh, Pennsylvania, United States","Argo AI develops self-driving products and services to make the world's streets and highways safer, more accessible, and useful to everyone.",https://www.argo.ai,2016-01-01,year,"Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software, Transportation",1001-5000,,,-1.2,-0.8,-3.9,2052566,USD,2052566,341125,USD,341125,72060,USD,72060,2,Made Acquisitions,3.1,30,0%,,,0%,49,"24,561","38,678.67",-1.04%,"1,061,086","78,398",7.98%,"Great Lakes, Northeastern US",$10M to $50M,Closed,2023-01-04,539654,USD,539654,3,,2021-07-21,,,,Corporate Round,3600000000,USD,3600000000
Branch,https://www.crunchbase.com/organization/branch-metrics,"App Marketing, Mobile Advertising, Mobile Apps, Software","Palo Alto, California, United States",Branch helps companies drive seamless mobile experiences through its linking infrastructure powering thousands of today's top brands.,https://branch.io,2014-04-15,day,"Advertising, Apps, Mobile, Sales and Marketing, Software",251-500,,,-0.5,0.9,-0.6,6317858,USD,6317858,1011341,USD,1011341,190689,USD,190689,3,Made Acquisitions,2.3,73,0%,15,562,0%,50,"704,350","729,774.17",-3.55%,"91,884","5,707",6.62%,"San Francisco Bay Area, Silicon Valley, West Coast",$10M to $50M,Active,2020-04-09,2102799,USD,2102799,9,Late Stage Venture,2022-02-10,282000000,USD,282000000,Series F,609050000,USD,609050000
Open,https://www.crunchbase.com/organization/open-5,"Financial Services, FinTech","Bangalore, Karnataka, India",Open is a neo-banking platform for SMEs and startups that enables businesses to manage their finances effectively.,https://open.money,2017-05-01,month,Financial Services,251-500,,,-1.2,-1,0.1,,,,,,,,,,2,Made Acquisitions,,21,0%,,,0%,64,"5,109",,,"2,793,639",,,Asia-Pacific (APAC),$1M to $10M,Active,,,,,8,Late Stage Venture,2022-05-02,50000000,USD,50000000,Series D,190808551,USD,190808551
HelloFresh,https://www.crunchbase.com/organization/hellofresh,"Delivery Service, Food and Beverage, Food Delivery, Subscription Service","Berlin, Berlin, Germany",HelloFresh is a food subscription company that sends pre-portioned ingredients to users’ doorstep each week.,https://www.hellofresh.com/,2011-01-01,year,"Food and Beverage, Other, Transportation",10001+,HFG,https://www.crunchbase.com/ipo/hellofresh-ipo--00daae55,-1.1,-1.6,-2,,,,,,,,,,4,Made Acquisitions,2.2,79,0%,2,"356,898",0%,30,"9,469,129","15,947,398",43.32%,"10,510","-3,553",-25.26%,European Union (EU),$100M to $500M,Active,2022-10-14,,,,6,IPO,2016-12-20,85000000,EUR,88321782,Series G,367459141,USD,367459141
Vouch Insurance,https://www.crunchbase.com/organization/vouch-insurance-21c4,"Finance, Financial Services, Insurance","San Francisco, California, United States",Vouch is a provider of insurance services intended for startups.,https://www.vouch.us/,2018-01-01,year,Financial Services,51-100,,,-1,8.3,8.9,,,,,,,,,,1,Made Acquisitions,1.3,22,-4.35%,,,0%,64,"33,531","19,945.17",67.87%,"843,577","-295,611",-25.95%,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,Active,,,,,6,Late Stage Venture,2021-09-10,60000000,USD,60000000,Series C,159724996,USD,159724996
Pipedrive,https://www.crunchbase.com/organization/pipedrive,"CRM, Marketing Automation, SaaS, Sales Automation, Software","New York, New York, United States",Pipedrive is the global sales-first CRM and intelligent revenue platform for small businesses,https://www.pipedrive.com,2010-06-21,day,"Information Technology, Sales and Marketing, Software",501-1000,,,-0.5,7.5,0.3,697878,USD,697878,115983,USD,115983,24501,USD,24501,1,"Made Acquisitions, Was Acquired",,70,0%,1,"3,482",0%,75,"4,217,057","6,944,883.5",-20.22%,"21,505","4,417",25.85%,"Greater New York Area, East Coast, Northeastern US",$10M to $50M,Active,,183484,USD,183484,8,M&A,2018-10-10,10000000,USD,10000000,Series C,90203108,USD,90203108
Carousell,https://www.crunchbase.com/organization/carousell,"Classifieds, Consumer Goods, E-Commerce, Marketplace, Mobile Apps","Singapore, Central Region, Singapore",Carousell is a classifieds marketplace that allows people to buy and sell preloved items.,https://www.carousell.sg,2012-01-01,year,"Apps, Commerce and Shopping, Consumer Goods, Mobile, Software",501-1000,,,-1.5,-1.7,4.5,,,,,,,,,,5,Made Acquisitions,0.9,17,0%,4,"311,121",0%,18,"8,017,963","9,418,147.33",-7.18%,"12,244","1,213",11%,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,Active,2022-12-02,,,,13,Private Equity,2021-11-11,10000000,USD,10000000,Private Equity,372605199,USD,372605199
BookMyShow,https://www.crunchbase.com/organization/bookmyshow,"Digital Entertainment, E-Commerce, Event Management, Events, Internet, Media and Entertainment, Online Auctions, Social Media, Sports","Mumbai, Maharashtra, India","BookMyShow is an Indian online ticketing service for cinemas, theaters, and sports.",https://in.bookmyshow.com,1999-01-01,year,"Commerce and Shopping, Events, Internet Services, Media and Entertainment, Sports",501-1000,,,-0.3,-0.5,4.8,,,,,,,,,,7,Made Acquisitions,,19,0%,112,"639,945",0%,176,,,,,,,Asia-Pacific (APAC),$10M to $50M,Active,2021-06-10,,,,6,,2019-01-01,,,,Venture - Series Unknown,224500000,USD,224500000
JumpCloud,https://www.crunchbase.com/organization/jumpcloud,"Cloud Data Services, Cloud Management, Information Technology, Security","Louisville, Colorado, United States","JumpCloud is an open directory platform for secure, frictionless access from any device to any resource, anywhere.",http://jumpcloud.com,2012-01-01,year,"Information Technology, Internet Services, Privacy and Security, Software",101-250,,,-0.6,3.9,8.2,473958,USD,473958,78769,USD,78769,16639,USD,16639,1,Made Acquisitions,2,53,-1.85%,,,0%,66,"1,552,214","1,764,278",27.4%,"49,343","-8,453",-14.63%,"Greater Denver Area, Western US",$1M to $10M,Active,2023-01-18,124612,USD,124612,12,Late Stage Venture,2021-10-19,66000000,USD,66000000,Series F,416717501,USD,416717501
Sophos,https://www.crunchbase.com/organization/sophos,"Cloud Security, Cyber Security, Network Security, Software","Abingdon, Oxfordshire, United Kingdom",Sophos develops network security and threat management products to protect organizations against malicious acts.,http://www.sophos.com,1985-01-01,year,"Information Technology, Privacy and Security, Software",1001-5000,SOPH,https://www.crunchbase.com/ipo/sophos-ipo--4d9148cf,-1.1,0.9,5.2,,,,,,,,,,17,"Made Acquisitions, Was Acquired",2.9,62,-3.13%,,,0%,133,"4,509,745","5,136,209.83",6.96%,"20,316",-468,-2.25%,,$100M to $500M,Active,2023-01-18,,,,2,M&A,2021-08-24,65229600,USD,65229600,Post-IPO Equity,125010656,USD,125010656
Salesforce,https://www.crunchbase.com/organization/salesforce,"Analytics, CRM, Enterprise Software, SaaS","San Francisco, California, United States",Salesforce is a global cloud computing company that develops CRM solutions and provides business software on a subscription basis.,https://www.salesforce.com,1999-01-01,day,"Data and Analytics, Information Technology, Sales and Marketing, Software",10001+,CRM,https://www.crunchbase.com/ipo/salesforce-ipo--d7878c92,-2.4,-3.2,5.2,,,,,,,,,,71,Made Acquisitions,4,254,0%,1,,0%,98,"72,340,982","151,433,803.67",-13.82%,"1,317",212,19.19%,"San Francisco Bay Area, West Coast, Western US",$10B+,Active,2023-01-04,,,,7,IPO,2022-10-18,,,,Post-IPO Equity,65375124,USD,65375124
Nutanix,https://www.crunchbase.com/organization/nutanix,"Data Center, Enterprise Software, Software, Virtualization","San Jose, California, United States",Nutanix is a virtualized datacenter platform that provides disruptive datacenter infrastructure solutions for business applications.,http://www.nutanix.com,2009-09-01,month,"Hardware, Information Technology, Software",5001-10000,NTNX,https://www.crunchbase.com/ipo/nutanix-ipo--4b596df4,-1.2,-1.9,-1,188385737,USD,188385737,59833552,USD,59833552,14682599,USD,14682599,5,Made Acquisitions,3.2,85,0%,1,,0%,97,"1,074,956","1,760,972.83",-29.8%,"66,090","17,777",36.8%,"San Francisco Bay Area, Silicon Valley, West Coast",$1B to $10B,Active,2022-08-10,51205030,USD,51205030,13,IPO,2020-08-27,750000000,USD,750000000,Post-IPO Debt,1148886043,USD,1148886043
Careem,https://www.crunchbase.com/organization/careem,"Customer Service, Logistics, Public Transportation, Ride Sharing, Transportation","Dubai, Dubai, United Arab Emirates",Careem develops an app that helps commuters in Dubai find cars for hire.,http://careem.com,2012-06-15,day,"Other, Professional Services, Transportation",1001-5000,,,-0.5,6.5,4.2,,,,,,,,,,7,"Made Acquisitions, Was Acquired",,34,0%,19,"762,444",0%,96,"584,844","1,061,606.5",16.43%,"105,746","-8,764",-7.65%,Gulf Cooperation Council (GCC),$100M to $500M,Active,2020-05-04,,,,7,M&A,2018-10-18,200000000,USD,200000000,Series F,771700000,USD,771700000
Fiverr,https://www.crunchbase.com/organization/fiverr,"Advertising, Collaborative Consumption, Marketplace, Outsourcing, Task Management","Tel Aviv, Tel Aviv, Israel",Fiverr is a marketplace for creative and professional services.,http://www.fiverr.com,2010-02-01,day,"Advertising, Commerce and Shopping, Other, Professional Services, Sales and Marketing, Software",101-250,FVRR,https://www.crunchbase.com/ipo/fiverr-ipo--491ebad1,3.8,-0.4,3.6,,,,,,,,,,6,Made Acquisitions,1.4,73,0%,2,"703,961",0%,154,"79,445,879","80,750,517.67",-1.69%,"1,194",22,1.88%,,$100M to $500M,Active,2022-07-26,,,,8,IPO,2018-11-23,,,,Series E,111000000,USD,111000000
Gramophone,https://www.crunchbase.com/organization/gramophone-218b,"Agriculture, AgTech, Farming, Internet","Indore, Madhya Pradesh, India",Gramophone is an AgTech data-driven technology platform helping farmers achieve better yields by providing information and input planning.,http://www.gramophone.in,2016-05-01,month,"Agriculture and Farming, Internet Services",251-500,,,2,9.1,9.2,,,,,,,,,,,,,11,0%,,,0%,30,"7,644",,185.22%,"2,120,316","-1,872,716",-46.9%,Asia-Pacific (APAC),,Active,,,,,7,,2023-01-24,93100000,INR,1141217,Corporate Round,19041218,USD,19041218
Greenlight,https://www.crunchbase.com/organization/greenlight-com,"Banking, Debit Cards, Financial Services, FinTech, Mobile Apps","Atlanta, Georgia, United States",Greenlight is a debit card and money app that provides an all-in-one money management platform for families and parents.,http://www.greenlight.com,2014-01-01,year,"Apps, Financial Services, Lending and Investments, Mobile, Payments, Software",501-1000,,,-0.1,9.3,9.9,,,,,,,,,,,,,20,0%,,,0%,56,"5,131,025","2,485,742.67",29.07%,"18,140","-3,721",-17.02%,"Greater Atlanta Area, East Coast, Southern US",$10M to $50M,Active,2023-01-12,,,,6,Late Stage Venture,2021-04-27,260000000,USD,260000000,Series D,556500000,USD,556500000
BigCommerce,https://www.crunchbase.com/organization/bigcommerce,"Business Development, E-Commerce, Enterprise Software, SaaS, Software","Austin, Texas, United States",BigCommerce is a SaaS provider for merchants running online businesses.,http://www.bigcommerce.com,2009-01-01,day,"Commerce and Shopping, Professional Services, Software",1001-5000,BI1,https://www.crunchbase.com/ipo/bigcommerce-ipo--132ea080,-1.3,-1,2.2,,,,,,,,,,4,Made Acquisitions,0,81,2.53%,1,,0%,136,"6,039,630","5,557,387.17",0.04%,"15,667",398,2.61%,Southern US,$100M to $500M,Active,2022-12-15,,,,7,IPO,2018-04-25,64000000,USD,64000000,Series F,224204369,USD,224204369
Foodpanda,https://www.crunchbase.com/organization/foodpanda,"Delivery, E-Commerce, Food Delivery, Marketplace","Berlin, Berlin, Germany",foodpanda is a online food delivery marketplace that enables users to place orders at local restaurants via its website or mobile app.,https://www.foodpanda.com,2012-04-01,day,"Administrative Services, Commerce and Shopping, Food and Beverage, Transportation",5001-10000,,,-1.3,-2.9,-1.4,,,,,,,,,,12,"Made Acquisitions, Was Acquired",,26,0%,11,"1,047,504",0%,34,"475,774","483,438.83",-6.4%,"123,570","10,077",8.88%,European Union (EU),$500M to $1B,Active,2022-09-02,,,,7,M&A,2017-05-23,431450000,USD,431450000,Undisclosed,749450000,USD,749450000
Bounce,https://www.crunchbase.com/organization/metro-bikes,"Last Mile Transportation, Recreational Vehicles, Rental, Ride Sharing","Bangalore, Karnataka, India",Bounce develops and provides a smart mobility solution that makes daily commute time-saving and stress-free.,https://bounceshare.com,2014-01-01,year,"Commerce and Shopping, Transportation",501-1000,,,0.4,6.1,8.4,,,,,,,,,,2,Made Acquisitions,,14,-6.67%,,,0%,58,"74,972","28,423",783.9%,"479,246","-1,482,282",-75.57%,Asia-Pacific (APAC),$1M to $10M,Active,2023-01-06,,,,10,,2022-01-30,1630000000,INR,21719873,Venture - Series Unknown,235896295,USD,235896295
GoDaddy,https://www.crunchbase.com/organization/godaddy,"Domain Registrar, Online Portals, Web Development, Web Hosting","Scottsdale, Arizona, United States",GoDaddy is an internet domain registrar and web hosting company facilitating online businesses.,https://www.godaddy.com,1997-01-01,year,"Internet Services, Software",5001-10000,GDDY,https://www.crunchbase.com/ipo/godaddy-ipo--361c9db5,2.6,-0.4,-0.3,255909650,USD,255909650,42530717,USD,42530717,8984310,USD,8984310,29,Made Acquisitions,,116,0%,19,"64,275",0%,136,"48,219,503","58,222,663.17",-6.23%,"2,031",135,7.12%,"Greater Phoenix Area, Western US",$1B to $10B,Active,2020-06-25,67282871,USD,67282871,3,IPO,2021-12-27,800000000,USD,800000000,Post-IPO Equity,800000000,USD,800000000
Tipalti,https://www.crunchbase.com/organization/tipalti,"Accounting, Financial Services, FinTech, Payments, Software","San Mateo, California, United States",Tipalti is a global payables automation platform that provides a cloud solution to scale and automate global payables operations.,https://tipalti.com,2010-01-01,year,"Financial Services, Payments, Professional Services, Software",501-1000,,,-0.5,6.3,-0.6,,,,,,,,,,1,Made Acquisitions,1.7,47,0%,,,0%,93,"1,320,775","2,321,340",-2.11%,"56,237","2,840",5.32%,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,Active,2023-01-16,,,,9,Late Stage Venture,2021-12-08,270000000,USD,270000000,Series F,565000000,USD,565000000
Revolut,https://www.crunchbase.com/organization/revolut,"Banking, Financial Services, FinTech, Mobile Payments","London, England, United Kingdom","Revolut is a financial services company that specializes in mobile banking, card payments, money remittance, and foreign exchange.",http://www.revolut.com,2015-01-01,year,"Financial Services, Lending and Investments, Mobile, Payments, Software",1001-5000,,,-0.3,4.6,-0.1,11079865,USD,11079865,5052,USD,5052,1854,USD,1854,1,Made Acquisitions,0.9,40,2.56%,5,"1,495,389",0%,52,"25,086,302","25,112,125.5",-7.03%,"4,103",430,11.71%,,$50M to $100M,Active,2022-09-07,14280,USD,14280,19,Late Stage Venture,2021-08-11,5470000,USD,5470000,Secondary Market,1710939790,USD,1710939790
